ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
91699042,86083690,1696220,,
54750686,86083690,25666958,,
73305027,86083690,25666958,,
8097623,86083690,25666958,,
22748409,86083690,25666958,,
62233020,86083690,29673695,,
4869592,86083690,29673695,,
39069308,86083690,29673695,,
40519863,86083690,29673695,,
62687687,86083690,3343985,,
45466641,86083690,3343985,,
94801578,86083690,3343985,,
87762857,86083690,3343985,,
28374567,86083690,74054412,,
55618592,86083690,74054412,,
66969175,86083690,74054412,,
89701494,86083690,74054412,,
6097295,86083690,74054412,,
88733739,86083690,48603239,,
51891737,86083690,48603239,,
23681485,86083690,48603239,,
54766168,86083690,48603239,,
55529454,86083690,2877157,,
2079438,86083690,2877157,,
26263252,86083690,2877157,,
11795008,86083690,2877157,,
92308303,86083690,2877157,,
90174955,86083690,39146377,,
82325033,86083690,39146377,,
34027266,86083690,39146377,,
63392407,86083690,39146377,,
56240541,86083690,21267167,,
5251190,86083690,21267167,,
28072309,86083690,21267167,,
6236001,86083690,21267167,,
62687687,16117658,3343985,,
94801578,16117658,3343985,,
87762857,16117658,3343985,,
27988605,16117658,3343985,,
96729503,16117658,56132742,,
64979107,16117658,56132742,,
98317800,16117658,56132742,,
21036330,16117658,56132742,,
27446283,16117658,23474192,,
36347990,16117658,23474192,,
11145436,16117658,23474192,,
79147169,16117658,23474192,,
92713058,16117658,5178638,,
78724856,16117658,5178638,,
56072477,16117658,5178638,,
72602300,16117658,5178638,,
71770689,16117658,9193535,,
29400420,16117658,9193535,,
69738467,16117658,9193535,,
95363125,16117658,9193535,,
52924222,16117658,1696220,,
30063637,16117658,1696220,,
50158144,16117658,1696220,,
56573294,16117658,1696220,,
45454244,16117658,1696220,,
78820173,16117658,80812925,,
6918556,16117658,80812925,,
69059518,16117658,80812925,,
80272718,16117658,80812925,,
67888989,16117658,80812925,,
30361046,16117658,57004617,,
25524724,16117658,57004617,,
26587170,16117658,57004617,,
15853445,16117658,57004617,,
22260089,16117658,29673695,,
12556542,16117658,29673695,,
16925860,16117658,29673695,,
74344772,16117658,29673695,,
56240541,16117658,2968352,,
54987655,16117658,2968352,,
13642507,16117658,2968352,,
46004647,16117658,2968352,,
2601478,16117658,39262660,,
68160068,16117658,39262660,,
2747521,16117658,39262660,,
978157,16117658,39262660,,
82362175,16117658,39262660,,
99283841,16117658,55674587,,
2508201,16117658,55674587,,
49997823,16117658,55674587,,
41738367,16117658,55674587,,
85957211,16117658,55674587,,
28374567,16117658,64830853,,
2248904,16117658,64830853,,
89701494,16117658,64830853,,
28164958,16117658,64830853,,
66969175,16117658,64830853,,
17281960,16117658,23372296,,
24614586,16117658,23372296,,
64209255,16117658,23372296,,
43318486,16117658,23372296,,
52636159,16117658,5117166,,
60534882,16117658,5117166,,
45152375,16117658,5117166,,
21031157,16117658,5117166,,
75356731,16117658,20173236,,
35352911,16117658,20173236,,
12795529,16117658,20173236,,
82504240,16117658,20173236,,
13757277,16117658,8699349,,
43405293,16117658,8699349,,
95416000,16117658,8699349,,
75895759,16117658,8699349,,
64580098,16117658,77440855,,
56650447,16117658,77440855,,
68991758,16117658,77440855,,
73294576,16117658,77440855,,
70877071,16117658,77440855,,
60153375,28212392,57461405,,
43098518,28212392,57461405,,
60557330,28212392,57461405,,
64626101,28212392,57461405,,
95127241,28212392,57461405,,
24307135,28212392,57461405,,
28374567,28212392,74054412,,
55618592,28212392,74054412,,
66969175,28212392,74054412,,
89701494,28212392,74054412,,
6097295,28212392,74054412,,
54750686,28212392,25666958,,
8097623,28212392,25666958,,
22748409,28212392,25666958,,
73305027,28212392,25666958,,
91355346,28212392,3343985,,
45466641,28212392,3343985,,
50866729,28212392,3343985,,
94801578,28212392,3343985,,
16286562,28212392,2877157,,
26263252,28212392,2877157,,
34703753,28212392,2877157,,
99215395,28212392,2877157,,
90174955,28212392,39146377,,
82325033,28212392,39146377,,
34027266,28212392,39146377,,
63392407,28212392,39146377,,
88733739,28212392,48603239,,
51891737,28212392,48603239,,
23681485,28212392,48603239,,
54766168,28212392,48603239,,
19858163,28212392,99948523,,
38090223,28212392,99948523,,
27988605,28212392,99948523,,
77690632,28212392,99948523,,
59502195,28212392,81328377,,
21737312,28212392,81328377,,
19467112,28212392,81328377,,
2788509,28212392,81328377,,
52636159,28212392,25482520,,
39833429,28212392,25482520,,
83818446,28212392,25482520,,
21031157,28212392,25482520,,
56240541,28212392,21267167,,
5251190,28212392,21267167,,
28072309,28212392,21267167,,
6236001,28212392,21267167,,
38683625,28212392,88825641,,
95508896,28212392,88825641,,
8606756,28212392,88825641,,
24371813,28212392,88825641,,
71963105,28212392,88825641,,
50285431,28212392,1696220,,
51345164,28212392,1696220,,
9649165,28212392,1696220,,
51690174,28212392,1696220,,
62513506,28212392,1696220,,
3888095,28212392,1696220,,
62233020,28212392,29673695,,
4869592,28212392,29673695,,
2136837,28212392,29673695,,
40519863,28212392,29673695,,
91355346,87373489,3343985,,
50866729,87373489,3343985,,
94801578,87373489,3343985,,
27988605,87373489,3343985,,
96729503,87373489,56132742,,
64979107,87373489,56132742,,
26859950,87373489,56132742,,
98317800,87373489,56132742,,
29990326,87373489,5178638,,
78724856,87373489,5178638,,
56072477,87373489,5178638,,
72602300,87373489,5178638,,
27446283,87373489,23474192,,
36347990,87373489,23474192,,
11145436,87373489,23474192,,
79147169,87373489,23474192,,
71770689,87373489,9193535,,
29400420,87373489,9193535,,
21159438,87373489,9193535,,
69738467,87373489,9193535,,
95363125,87373489,9193535,,
52924222,87373489,1696220,,
56573294,87373489,1696220,,
50158144,87373489,1696220,,
45454244,87373489,1696220,,
78820173,87373489,80812925,,
6918556,87373489,80812925,,
95297254,87373489,80812925,,
80272718,87373489,80812925,,
67888989,87373489,80812925,,
30361046,87373489,57004617,,
65824952,87373489,57004617,,
25524724,87373489,57004617,,
15853445,87373489,57004617,,
55567527,87373489,29673695,,
12556542,87373489,29673695,,
16925860,87373489,29673695,,
22260089,87373489,29673695,,
45949861,87373489,2968352,,
54987655,87373489,2968352,,
13642507,87373489,2968352,,
46004647,87373489,2968352,,
